,Submarket,Housing_Type,Cluster
42500,Mecklenburg County 20 (NC), Single Family,3
42501,Mecklenburg County 19 (NC), Single Family,3
42502,Mecklenburg County 19 (NC), Single Family,3
42503,Cornelius, Condominium,4
42504,Cornelius, Condominium,4
42505,Cornelius, Condominium,4
42506,Cornelius, Condominium,4
42507,Matthews, Single Family,3
42508,Matthews, Single Family,3
42509,Huntersville, Single Family,2
42510,Mecklenburg County 34 (NC), Single Family,3
42511,Mecklenburg County 6 (NC), Single Family,3
42512,Mecklenburg County 6 (NC), Single Family,3
42513,Mecklenburg County 6 (NC), Single Family,3
42514,Mecklenburg County 6 (NC), Single Family,3
42515,Mecklenburg County 14 (NC), Single Family,3
42516,Mecklenburg County 14 (NC), Single Family,3
42517,Mecklenburg County 14 (NC), Single Family,3
42518,Mecklenburg County 14 (NC), Single Family,3
42519,Mecklenburg County 14 (NC), Single Family,3
42520,Mecklenburg County 14 (NC), Single Family,3
42521,Mecklenburg County 28 (NC), Single Family,3
42522,Mecklenburg County 7 (NC), Single Family,3
42523,Mecklenburg County 7 (NC), Single Family,3
42524,Mecklenburg County 7 (NC), Single Family,3
42525,Mecklenburg County 7 (NC), Single Family,3
42526,Mecklenburg County 7 (NC), Single Family,3
42527,Mecklenburg County 7 (NC), Single Family,3
42528,Mecklenburg County 7 (NC), Single Family,3
42529,Mecklenburg County 29 (NC), Townhouse,1
42530,Mecklenburg County 14 (NC), Single Family,3
42531,Mecklenburg County 7 (NC), Single Family,3
42532,Mecklenburg County 27 (NC), Single Family,3
42533,Mecklenburg County 29 (NC), Single Family,1
42534,Mecklenburg County 29 (NC), Single Family,1
42535,Mecklenburg County 1 (NC), Single Family,4
42536,Mecklenburg County 29 (NC), Single Family,1
42537,Mecklenburg County 4 (NC), Condominium,4
42538,Mecklenburg County 8 (NC), Single Family,3
42539,Mecklenburg County 24 (NC), Single Family,3
42540,Mecklenburg County 29 (NC), Single Family,1
42541,Mecklenburg County 29 (NC), Single Family,1
42542,Mecklenburg County 29 (NC), Single Family,1
42543,Mecklenburg County 29 (NC), Single Family,1
42544,Davidson, Single Family,3
42545,Davidson, Single Family,3
42546,Mecklenburg County 19 (NC), Single Family,3
42547,Mecklenburg County 19 (NC), Single Family,3
42548,Mecklenburg County 19 (NC), Single Family,3
42549,Mecklenburg County 19 (NC), Single Family,3
42550,Mecklenburg County 19 (NC), Single Family,3
42551,Mecklenburg County 19 (NC), Single Family,3
42552,Mecklenburg County 19 (NC), Single Family,3
42553,Mecklenburg County 19 (NC), Single Family,3
42554,Mecklenburg County 19 (NC), Single Family,3
42555,Mecklenburg County 19 (NC), Single Family,3
42556,Mecklenburg County 19 (NC), Single Family,3
42557,Mecklenburg County 19 (NC), Single Family,3
42558,Mecklenburg County 19 (NC), Single Family,3
42559,Mecklenburg County 29 (NC), Single Family,1
42560,Mecklenburg County 29 (NC), Single Family,1
42561,Mecklenburg County 17 (NC), Townhouse,1
42562,Mecklenburg County 6 (NC), Single Family,3
42563,Mecklenburg County 6 (NC), Single Family,3
42564,Mecklenburg County 6 (NC), Single Family,3
42565,Mecklenburg County 34 (NC), Single Family,3
42566,Mecklenburg County 28 (NC), Single Family,3
42567,Mecklenburg County 15 (NC), Single Family,3
42568,Huntersville, Single Family,2
42569,Huntersville, Single Family,2
42570,Huntersville, Single Family,2
42571,Huntersville, Single Family,2
42572,Huntersville, Single Family,2
42573,Huntersville, Single Family,2
42574,Huntersville, Single Family,2
42575,Huntersville, Single Family,2
42576,Huntersville, Single Family,2
42577,Huntersville, Single Family,2
42578,Huntersville, Single Family,2
42579,Huntersville, Single Family,2
42580,Huntersville, Single Family,2
42581,Huntersville, Single Family,2
42582,Mecklenburg County 6 (NC), Single Family,3
42583,Mecklenburg County 34 (NC), Single Family,3
42584,Mecklenburg County 34 (NC), Single Family,3
42585,Mecklenburg County 36 (NC), Townhouse,1
42586,Mecklenburg County 28 (NC), Single Family,3
42587,Mecklenburg County 28 (NC), Single Family,3
42588,Mecklenburg County 28 (NC), Single Family,3
42589,Mecklenburg County 28 (NC), Single Family,3
42590,Mecklenburg County 25 (NC), Single Family,3
42591,Mecklenburg County 22 (NC), Single Family,3
42592,Mecklenburg County 22 (NC), Single Family,3
42593,Mecklenburg County 22 (NC), Single Family,3
42594,Mecklenburg County 36 (NC), Single Family,3
42595,Mecklenburg County 36 (NC), Single Family,3
42596,Mecklenburg County 36 (NC), Single Family,3
42597,Mecklenburg County 36 (NC), Single Family,3
42598,Mecklenburg County 29 (NC), Single Family,1
42599,Huntersville, Single Family,2
42600,Mecklenburg County 23 (NC), Single Family,3
42601,Mecklenburg County 13 (NC), Single Family,3
42602,Mint Hill, Single Family,3
42603,Mecklenburg County 27 (NC), Single Family,3
42604,Davidson, Single Family,3
42605,Mecklenburg County 29 (NC), Single Family,1
42606,Mecklenburg County 29 (NC), Single Family,1
42607,Mint Hill, Single Family,3
42608,Davidson, Single Family,3
42609,Pineville, Single Family,3
42610,Mecklenburg County 28 (NC), Single Family,3
42611,Mecklenburg County 29 (NC), Single Family,1
42612,Mecklenburg County 29 (NC), Single Family,1
42613,Mecklenburg County 29 (NC), Single Family,1
42614,Mecklenburg County 26 (NC), Single Family,3
42615,Huntersville, Single Family,2
42616,Mecklenburg County 29 (NC), Single Family,1
42617,Mecklenburg County 23 (NC), Condominium,4
42618,Mecklenburg County 1 (NC), Condominium,4
42619,Davidson, Single Family,3
42620,Mecklenburg County 6 (NC), Townhouse,1
42621,Mecklenburg County 6 (NC), Townhouse,1
42622,Huntersville, Single Family,2
42623,Mecklenburg County 36 (NC), Single Family,3
42624,Mecklenburg County 36 (NC), Townhouse,1
42625,Mecklenburg County 36 (NC), Condominium,4
42626,Mecklenburg County 36 (NC), Condominium,4
42627,Cornelius, Condominium,4
42628,Cornelius, Condominium,4
42629,Cornelius, Condominium,4
42630,Cornelius, Condominium,4
42631,Cornelius, Condominium,4
42632,Cornelius, Condominium,4
42633,Cornelius, Condominium,4
42634,Cornelius, Condominium,4
42635,Cornelius, Condominium,4
42636,Cornelius, Condominium,4
42637,Cornelius, Single Family,4
42638,Cornelius, Townhouse,4
42639,Mecklenburg County 3 (NC), Single Family,3
42640,Mecklenburg County 3 (NC), Single Family,3
42641,Mecklenburg County 3 (NC), Single Family,3
42642,Mint Hill, Single Family,3
42643,Mecklenburg County 34 (NC), Single Family,3
42644,Mecklenburg County 34 (NC), Single Family,3
42645,Mecklenburg County 16 (NC), Condominium,4
42646,Mecklenburg County 16 (NC), Condominium,4
42647,Mecklenburg County 28 (NC), Single Family,3
42648,Mecklenburg County 15 (NC), Townhouse,1
42649,Mecklenburg County 36 (NC), Condominium,4
42650,Mecklenburg County 14 (NC), Single Family,3
42651,Mecklenburg County 14 (NC), Single Family,3
42652,Mecklenburg County 14 (NC), Single Family,3
42653,Mecklenburg County 18 (NC), Single Family,3
42654,Mecklenburg County 29 (NC), Single Family,1
42655,Mecklenburg County 13 (NC), Single Family,3
42656,Matthews, Single Family,3
42657,Mecklenburg County 12 (NC), Townhouse,1
42658,Mecklenburg County 12 (NC), Single Family,3
42659,Huntersville, Single Family,2
42660,Huntersville, Single Family,2
42661,Huntersville, Single Family,2
42662,Huntersville, Single Family,2
42663,Huntersville, Townhouse,2
42664,Huntersville, Townhouse,2
42665,Mecklenburg County 6 (NC), Townhouse,1
42666,Davidson, Single Family,3
42667,Davidson, Single Family,3
42668,Mecklenburg County 14 (NC), Single Family,3
42669,Mecklenburg County 28 (NC), Single Family,3
42670,Mecklenburg County 28 (NC), Single Family,3
42671,Mecklenburg County 28 (NC), Single Family,3
42672,Mecklenburg County 28 (NC), Single Family,3
42673,Mecklenburg County 15 (NC), Single Family,3
42674,Cornelius, Condominium,4
42675,Cornelius, Condominium,4
42676,Mecklenburg County 34 (NC), Townhouse,1
42677,Mecklenburg County 34 (NC), Single Family,3
42678,Mecklenburg County 34 (NC), Single Family,3
42679,Mecklenburg County 34 (NC), Single Family,3
42680,Mecklenburg County 34 (NC), Single Family,3
42681,Mecklenburg County 19 (NC), Townhouse,1
42682,Mecklenburg County 34 (NC), Single Family,3
42683,Mecklenburg County 2 (NC), Condominium,4
42684,Mecklenburg County 2 (NC), Condominium,4
42685,Mecklenburg County 2 (NC), Condominium,4
42686,Mint Hill, Single Family,3
42687,Mint Hill, Single Family,3
42688,Mint Hill, Single Family,3
42689,Mecklenburg County 27 (NC), Single Family,3
42690,Mecklenburg County 27 (NC), Single Family,3
42691,Mecklenburg County 23 (NC), Single Family,3
42692,Mecklenburg County 23 (NC), Single Family,3
42693,Mecklenburg County 7 (NC), Single Family,3
42694,Mint Hill, Single Family,3
42695,Mint Hill, Single Family,3
42696,Matthews, Single Family,3
42697,Mecklenburg County 26 (NC), Single Family,3
42698,Mecklenburg County 26 (NC), Single Family,3
42699,Mecklenburg County 26 (NC), Single Family,3
42700,Mecklenburg County 30 (NC), Condominium,4
42701,Mecklenburg County 9 (NC), Single Family,3
42702,Mecklenburg County 9 (NC), Single Family,3
42703,Mecklenburg County 29 (NC), Townhouse,1
42704,Mecklenburg County 29 (NC), Townhouse,1
42705,Mecklenburg County 29 (NC), Townhouse,1
42706,Mecklenburg County 29 (NC), Townhouse,1
42707,Mecklenburg County 29 (NC), Townhouse,1
42708,Mecklenburg County 29 (NC), Townhouse,1
42709,Mecklenburg County 7 (NC), Single Family,3
42710,Mecklenburg County 36 (NC), Townhouse,1
42711,Mecklenburg County 14 (NC), Single Family,3
42712,Mecklenburg County 14 (NC), Single Family,3
42713,Mecklenburg County 14 (NC), Condominium,4
42714,Mecklenburg County 29 (NC), Townhouse,1
42715,Mecklenburg County 17 (NC), Single Family,3
42716,Mecklenburg County 36 (NC), Single Family,3
42717,Mecklenburg County 36 (NC), Single Family,3
42718,Mecklenburg County 36 (NC), Townhouse,1
42719,Mecklenburg County 36 (NC), Townhouse,1
42720,Mecklenburg County 36 (NC), Townhouse,1
42721,Mecklenburg County 36 (NC), Townhouse,1
42722,Mecklenburg County 36 (NC), Townhouse,1
42723,Mecklenburg County 36 (NC), Townhouse,1
42724,Mecklenburg County 36 (NC), Townhouse,1
42725,Mecklenburg County 23 (NC), Single Family,3
42726,Mecklenburg County 9 (NC), Single Family,3
42727,Mecklenburg County 9 (NC), Single Family,3
42728,Mecklenburg County 9 (NC), Single Family,3
42729,Mecklenburg County 9 (NC), Single Family,3
42730,Mecklenburg County 9 (NC), Single Family,3
42731,Cornelius, Single Family,4
42732,Huntersville, Single Family,2
42733,Huntersville, Single Family,2
42734,Huntersville, Single Family,2
42735,Huntersville, Single Family,2
42736,Mint Hill, Single Family,3
42737,Mint Hill, Single Family,3
42738,Mint Hill, Single Family,3
42739,Mecklenburg County 19 (NC), Single Family,3
42740,Mecklenburg County 34 (NC), Single Family,3
42741,Mecklenburg County 19 (NC), Single Family,3
42742,Mecklenburg County 34 (NC), Single Family,3
42743,Mecklenburg County 34 (NC), Single Family,3
42744,Mecklenburg County 19 (NC), Single Family,3
42745,Mecklenburg County 19 (NC), Single Family,3
42746,Mecklenburg County 19 (NC), Townhouse,1
42747,Mecklenburg County 19 (NC), Single Family,3
42748,Mecklenburg County 19 (NC), Single Family,3
42749,Mecklenburg County 19 (NC), Single Family,3
42750,Mecklenburg County 19 (NC), Single Family,3
42751,Mecklenburg County 19 (NC), Single Family,3
42752,Pineville, Single Family,3
42753,Mecklenburg County 10 (NC), Single Family,3
42754,Mecklenburg County 14 (NC), Single Family,3
42755,Mecklenburg County 14 (NC), Single Family,3
42756,Huntersville, Single Family,2
42757,Mecklenburg County 15 (NC), Single Family,3
42758,Mecklenburg County 11 (NC), Townhouse,1
42759,Cornelius, Condominium,4
42760,Cornelius, Condominium,4
42761,Cornelius, Condominium,4
42762,Cornelius, Condominium,4
42763,Mecklenburg County 36 (NC), Single Family,3
42764,Mecklenburg County 7 (NC), Single Family,3
42765,Mecklenburg County 26 (NC), Single Family,3
42766,Mecklenburg County 26 (NC), Single Family,3
42767,Mecklenburg County 17 (NC), Single Family,3
42768,Mecklenburg County 17 (NC), Single Family,3
42769,Mecklenburg County 17 (NC), Single Family,3
42770,Mecklenburg County 34 (NC), Single Family,3
42771,Mecklenburg County 28 (NC), Single Family,3
42772,Mecklenburg County 28 (NC), Single Family,3
42773,Mecklenburg County 28 (NC), Single Family,3
42774,Mecklenburg County 27 (NC), Single Family,3
42775,Mecklenburg County 27 (NC), Single Family,3
42776,Mecklenburg County 29 (NC), Single Family,1
42777,Mecklenburg County 29 (NC), Single Family,1
42778,Davidson, Single Family,3
42779,Mecklenburg County 6 (NC), Single Family,3
42780,Mecklenburg County 6 (NC), Single Family,3
42781,Mecklenburg County 4 (NC), Single Family,3
42782,Mecklenburg County 36 (NC), Townhouse,1
42783,Mecklenburg County 36 (NC), Townhouse,1
42784,Mecklenburg County 36 (NC), Townhouse,1
42785,Mecklenburg County 20 (NC), Condominium,4
42786,Mecklenburg County 20 (NC), Condominium,4
42787,Mecklenburg County 20 (NC), Condominium,4
42788,Mecklenburg County 20 (NC), Condominium,4
42789,Mecklenburg County 20 (NC), Condominium,4
42790,Mecklenburg County 7 (NC), Townhouse,1
42791,Mecklenburg County 7 (NC), Townhouse,1
42792,Mecklenburg County 7 (NC), Townhouse,1
42793,Mecklenburg County 7 (NC), Townhouse,1
42794,Mecklenburg County 7 (NC), Townhouse,1
42795,Mecklenburg County 7 (NC), Townhouse,1
42796,Matthews, Single Family,3
42797,Mecklenburg County 36 (NC), Townhouse,1
42798,Mecklenburg County 36 (NC), Single Family,3
42799,Mecklenburg County 36 (NC), Single Family,3
42800,Mecklenburg County 36 (NC), Single Family,3
42801,Mecklenburg County 36 (NC), Single Family,3
42802,Mecklenburg County 36 (NC), Single Family,3
42803,Mecklenburg County 36 (NC), Single Family,3
42804,Mecklenburg County 36 (NC), Single Family,3
42805,Mecklenburg County 36 (NC), Single Family,3
42806,Mecklenburg County 36 (NC), Single Family,3
42807,Mecklenburg County 36 (NC), Single Family,3
42808,Mecklenburg County 36 (NC), Single Family,3
42809,Mecklenburg County 36 (NC), Single Family,3
42810,Mecklenburg County 36 (NC), Single Family,3
42811,Mecklenburg County 36 (NC), Single Family,3
42812,Mecklenburg County 36 (NC), Single Family,3
42813,Mecklenburg County 36 (NC), Single Family,3
42814,Mecklenburg County 36 (NC), Single Family,3
42815,Mecklenburg County 36 (NC), Single Family,3
42816,Mecklenburg County 36 (NC), Townhouse,1
42817,Mecklenburg County 36 (NC), Townhouse,1
42818,Mecklenburg County 36 (NC), Townhouse,1
42819,Mecklenburg County 36 (NC), Townhouse,1
42820,Mecklenburg County 36 (NC), Townhouse,1
42821,Mecklenburg County 34 (NC), Single Family,3
42822,Mecklenburg County 34 (NC), Single Family,3
42823,Mecklenburg County 34 (NC), Townhouse,1
42824,Mecklenburg County 9 (NC), Single Family,3
42825,Mecklenburg County 9 (NC), Single Family,3
42826,Mecklenburg County 9 (NC), Single Family,3
42827,Mecklenburg County 9 (NC), Townhouse,1
42828,Mecklenburg County 9 (NC), Townhouse,1
42829,Mecklenburg County 13 (NC), Single Family,3
42830,Mecklenburg County 14 (NC), Single Family,3
42831,Mecklenburg County 14 (NC), Single Family,3
42832,Cornelius, Single Family,4
42833,Mecklenburg County 15 (NC), Townhouse,1
42834,Mecklenburg County 15 (NC), Townhouse,1
42835,Mecklenburg County 17 (NC), Single Family,3
42836,Mecklenburg County 17 (NC), Single Family,3
42837,Mecklenburg County 17 (NC), Single Family,3
42838,Mecklenburg County 17 (NC), Single Family,3
42839,Mecklenburg County 17 (NC), Single Family,3
42840,Mecklenburg County 17 (NC), Single Family,3
42841,Mecklenburg County 14 (NC), Single Family,3
42842,Mecklenburg County 34 (NC), Single Family,3
42843,Mecklenburg County 26 (NC), Single Family,3
42844,Mecklenburg County 26 (NC), Single Family,3
42845,Mecklenburg County 26 (NC), Single Family,3
42846,Mecklenburg County 12 (NC), Single Family,3
42847,Huntersville, Single Family,2
42848,Huntersville, Single Family,2
42849,Huntersville, Single Family,2
42850,Huntersville, Single Family,2
42851,Huntersville, Single Family,2
42852,Huntersville, Single Family,2
42853,Huntersville, Single Family,2
42854,Huntersville, Single Family,2
42855,Huntersville, Single Family,2
42856,Huntersville, Single Family,2
42857,Huntersville, Single Family,2
42858,Huntersville, Single Family,2
42859,Huntersville, Single Family,2
42860,Huntersville, Single Family,2
42861,Huntersville, Single Family,2
42862,Huntersville, Single Family,2
42863,Huntersville, Single Family,2
42864,Mecklenburg County 13 (NC), Single Family,3
42865,Mecklenburg County 13 (NC), Single Family,3
42866,Mecklenburg County 13 (NC), Single Family,3
42867,Mecklenburg County 13 (NC), Single Family,3
42868,Mecklenburg County 13 (NC), Single Family,3
42869,Mecklenburg County 13 (NC), Single Family,3
42870,Mecklenburg County 18 (NC), Single Family,3
42871,Mecklenburg County 34 (NC), Single Family,3
42872,Mecklenburg County 34 (NC), Single Family,3
42873,Mecklenburg County 34 (NC), Townhouse,1
42874,Mecklenburg County 34 (NC), Townhouse,1
42875,Mecklenburg County 34 (NC), Townhouse,1
42876,Mecklenburg County 34 (NC), Townhouse,1
42877,Mecklenburg County 34 (NC), Single Family,3
42878,Huntersville, Condominium,2
42879,Huntersville, Single Family,2
42880,Cornelius, Single Family,4
42881,Cornelius, Single Family,4
42882,Mecklenburg County 7 (NC), Single Family,3
42883,Mecklenburg County 7 (NC), Single Family,3
42884,Mecklenburg County 7 (NC), Single Family,3
42885,Mecklenburg County 7 (NC), Single Family,3
42886,Mecklenburg County 27 (NC), Single Family,3
42887,Mecklenburg County 17 (NC), Townhouse,1
42888,Mecklenburg County 36 (NC), Single Family,3
42889,Mecklenburg County 36 (NC), Single Family,3
42890,Mecklenburg County 7 (NC), Single Family,3
42891,Mecklenburg County 7 (NC), Single Family,3
42892,Mecklenburg County 7 (NC), Single Family,3
42893,Mecklenburg County 7 (NC), Single Family,3
42894,Mecklenburg County 7 (NC), Single Family,3
42895,Mecklenburg County 7 (NC), Single Family,3
42896,Davidson, Single Family,3
42897,Davidson, Single Family,3
42898,Davidson, Single Family,3
42899,Pineville, Single Family,3
42900,Pineville, Single Family,3
42901,Matthews, Single Family,3
42902,Mecklenburg County 7 (NC), Single Family,3
42903,Mecklenburg County 7 (NC), Single Family,3
42904,Mecklenburg County 7 (NC), Single Family,3
42905,Mecklenburg County 14 (NC), Townhouse,1
42906,Huntersville, Single Family,2
42907,Huntersville, Single Family,2
42908,Huntersville, Single Family,2
42909,Mecklenburg County 6 (NC), Townhouse,1
42910,Mecklenburg County 6 (NC), Townhouse,1
42911,Mecklenburg County 6 (NC), Townhouse,1
42912,Mecklenburg County 6 (NC), Townhouse,1
42913,Mecklenburg County 6 (NC), Townhouse,1
42914,Mecklenburg County 6 (NC), Townhouse,1
42915,Mecklenburg County 6 (NC), Townhouse,1
42916,Mecklenburg County 6 (NC), Townhouse,1
42917,Mecklenburg County 8 (NC), Single Family,3
42918,Mecklenburg County 16 (NC), Single Family,3
42919,Mecklenburg County 16 (NC), Single Family,3
42920,Mecklenburg County 16 (NC), Single Family,3
42921,Mecklenburg County 10 (NC), Single Family,3
42922,Mecklenburg County 14 (NC), Single Family,3
42923,Mecklenburg County 28 (NC), Single Family,3
42924,Mecklenburg County 28 (NC), Single Family,3
42925,Mecklenburg County 28 (NC), Single Family,3
42926,Mecklenburg County 19 (NC), Single Family,3
42927,Mecklenburg County 10 (NC), Single Family,3
42928,Mecklenburg County 26 (NC), Single Family,3
42929,Mecklenburg County 10 (NC), Single Family,3
42930,Mecklenburg County 30 (NC), Single Family,3
42931,Mecklenburg County 30 (NC), Single Family,3
42932,Mecklenburg County 30 (NC), Single Family,3
42933,Matthews, Single Family,3
42934,Matthews, Single Family,3
42935,Matthews, Single Family,3
42936,Matthews, Single Family,3
42937,Matthews, Single Family,3
42938,Matthews, Single Family,3
42939,Mecklenburg County 22 (NC), Single Family,3
42940,Mecklenburg County 22 (NC), Single Family,3
42941,Mecklenburg County 22 (NC), Single Family,3
42942,Mecklenburg County 34 (NC), Single Family,3
42943,Mecklenburg County 34 (NC), Single Family,3
42944,Mecklenburg County 23 (NC), Single Family,3
42945,Mecklenburg County 14 (NC), Single Family,3
42946,Mecklenburg County 28 (NC), Single Family,3
42947,Mecklenburg County 28 (NC), Single Family,3
42948,Mecklenburg County 28 (NC), Single Family,3
42949,Mecklenburg County 28 (NC), Single Family,3
42950,Mecklenburg County 28 (NC), Single Family,3
42951,Mecklenburg County 28 (NC), Single Family,3
42952,Mecklenburg County 28 (NC), Single Family,3
42953,Mecklenburg County 28 (NC), Single Family,3
42954,Davidson, Condominium,4
42955,Davidson, Condominium,4
42956,Davidson, Condominium,4
42957,Mecklenburg County 7 (NC), Single Family,3
42958,Mecklenburg County 7 (NC), Single Family,3
42959,Mecklenburg County 14 (NC), Single Family,3
42960,Pineville, Single Family,3
42961,Davidson, Single Family,3
42962,Mecklenburg County 34 (NC), Single Family,3
42963,Mecklenburg County 34 (NC), Single Family,3
42964,Mecklenburg County 34 (NC), Single Family,3
42965,Mecklenburg County 34 (NC), Single Family,3
42966,Mecklenburg County 3 (NC), Single Family,3
42967,Mecklenburg County 9 (NC), Single Family,3
42968,Mecklenburg County 9 (NC), Single Family,3
42969,Mecklenburg County 9 (NC), Single Family,3
42970,Huntersville, Single Family,2
42971,Huntersville, Single Family,2
42972,Huntersville, Single Family,2
42973,Mecklenburg County 6 (NC), Single Family,3
42974,Mecklenburg County 6 (NC), Single Family,3
42975,Mecklenburg County 6 (NC), Single Family,3
42976,Mecklenburg County 6 (NC), Single Family,3
42977,Mecklenburg County 36 (NC), Townhouse,1
42978,Mecklenburg County 36 (NC), Townhouse,1
42979,Mecklenburg County 36 (NC), Townhouse,1
42980,Mecklenburg County 36 (NC), Townhouse,1
42981,Mecklenburg County 36 (NC), Townhouse,1
42982,Mecklenburg County 36 (NC), Townhouse,1
42983,Mecklenburg County 36 (NC), Townhouse,1
42984,Mecklenburg County 36 (NC), Townhouse,1
42985,Mecklenburg County 28 (NC), Single Family,3
42986,Huntersville, Single Family,2
42987,Mecklenburg County 28 (NC), Single Family,3
42988,Mecklenburg County 20 (NC), Single Family,3
42989,Mecklenburg County 20 (NC), Single Family,3
42990,Mecklenburg County 20 (NC), Single Family,3
42991,Mecklenburg County 15 (NC), Single Family,3
42992,Mecklenburg County 14 (NC), Single Family,3
42993,Mecklenburg County 27 (NC), Single Family,3
42994,Mecklenburg County 19 (NC), Single Family,3
42995,Pineville, Single Family,3
42996,Mecklenburg County 6 (NC), Single Family,3
42997,Mecklenburg County 27 (NC), Single Family,3
42998,Mecklenburg County 19 (NC), Single Family,3
42999,Mecklenburg County 19 (NC), Townhouse,1
43000,Mecklenburg County 18 (NC), Single Family,3
43001,Mecklenburg County 18 (NC), Single Family,3
43002,Mecklenburg County 19 (NC), Single Family,3
43003,Mecklenburg County 19 (NC), Townhouse,1
43004,Mecklenburg County 19 (NC), Single Family,3
43005,Mecklenburg County 19 (NC), Townhouse,1
43006,Mecklenburg County 19 (NC), Single Family,3
43007,Mecklenburg County 19 (NC), Single Family,3
43008,Mecklenburg County 19 (NC), Single Family,3
43009,Mecklenburg County 19 (NC), Condominium,4
43010,Mecklenburg County 19 (NC), Condominium,4
43011,Mecklenburg County 19 (NC), Condominium,4
43012,Mecklenburg County 18 (NC), Single Family,3
43013,Pineville, Townhouse,1
43014,Pineville, Townhouse,1
43015,Huntersville, Single Family,2
43016,Huntersville, Single Family,2
43017,Mecklenburg County 24 (NC), Single Family,3
43018,Pineville, Single Family,3
43019,Pineville, Single Family,3
43020,Mecklenburg County 22 (NC), Condominium,4
43021,Mecklenburg County 27 (NC), Single Family,3
43022,Mecklenburg County 19 (NC), Single Family,3
43023,Huntersville, Single Family,2
43024,Huntersville, Single Family,2
43025,Huntersville, Single Family,2
43026,Huntersville, Single Family,2
43027,Huntersville, Townhouse,2
43028,Mecklenburg County 29 (NC), Single Family,1
43029,Mecklenburg County 15 (NC), Single Family,3
43030,Huntersville, Single Family,2
43031,Matthews, Single Family,3
43032,Mecklenburg County 14 (NC), Single Family,3
43033,Mecklenburg County 29 (NC), Single Family,1
43034,Mecklenburg County 29 (NC), Single Family,1
43035,Mecklenburg County 29 (NC), Single Family,1
43036,Mecklenburg County 29 (NC), Single Family,1
43037,Mecklenburg County 29 (NC), Single Family,1
43038,Mecklenburg County 29 (NC), Single Family,1
43039,Mecklenburg County 29 (NC), Single Family,1
43040,Mecklenburg County 29 (NC), Townhouse,1
43041,Mecklenburg County 29 (NC), Single Family,1
43042,Mecklenburg County 29 (NC), Single Family,1
43043,Mecklenburg County 6 (NC), Single Family,3
43044,Mecklenburg County 29 (NC), Single Family,1
43045,Mecklenburg County 29 (NC), Single Family,1
43046,Mecklenburg County 29 (NC), Single Family,1
43047,Mecklenburg County 29 (NC), Single Family,1
43048,Mecklenburg County 29 (NC), Single Family,1
43049,Mecklenburg County 29 (NC), Townhouse,1
43050,Mecklenburg County 23 (NC), Single Family,3
43051,Mecklenburg County 23 (NC), Townhouse,1
43052,Mecklenburg County 36 (NC), Single Family,3
43053,Mecklenburg County 1 (NC), Condominium,4
43054,Mecklenburg County 1 (NC), Condominium,4
43055,Mecklenburg County 19 (NC), Townhouse,1
43056,Mecklenburg County 15 (NC), Single Family,3
43057,Mecklenburg County 36 (NC), Single Family,3
43058,Mecklenburg County 36 (NC), Single Family,3
43059,Mecklenburg County 7 (NC), Single Family,3
43060,Mecklenburg County 15 (NC), Single Family,3
43061,Huntersville, Single Family,2
43062,Huntersville, Single Family,2
43063,Huntersville, Single Family,2
43064,Huntersville, Single Family,2
43065,Huntersville, Single Family,2
43066,Huntersville, Single Family,2
43067,Mecklenburg County 15 (NC), Single Family,3
43068,Mecklenburg County 24 (NC), Townhouse,1
43069,Davidson, Single Family,3
43070,Davidson, Single Family,3
43071,Mecklenburg County 27 (NC), Single Family,3
43072,Mecklenburg County 4 (NC), Condominium,4
43073,Mecklenburg County 6 (NC), Single Family,3
43074,Mecklenburg County 6 (NC), Single Family,3
43075,Mecklenburg County 26 (NC), Single Family,3
43076,Mecklenburg County 26 (NC), Single Family,3
43077,Mecklenburg County 26 (NC), Single Family,3
43078,Mecklenburg County 15 (NC), Single Family,3
43079,Mecklenburg County 17 (NC), Condominium,4
43080,Mecklenburg County 17 (NC), Condominium,4
43081,Mecklenburg County 15 (NC), Townhouse,1
43082,Mecklenburg County 4 (NC), Single Family,3
43083,Charlotte, Single Family,3
43084,Charlotte, Single Family,3
43085,Charlotte, Single Family,3
43086,Charlotte, Single Family,3
43087,Charlotte, Single Family,3
43088,Charlotte, Single Family,3
43089,Charlotte, Single Family,3
43090,Mecklenburg County 36 (NC), Single Family,3
43091,Mecklenburg County 29 (NC), Single Family,1
43092,Mecklenburg County 29 (NC), Single Family,1
43093,Mecklenburg County 10 (NC), Single Family,3
43094,Mecklenburg County 16 (NC), Condominium,4
43095,Mecklenburg County 14 (NC), Single Family,3
43096,Mecklenburg County 14 (NC), Single Family,3
43097,Mecklenburg County 29 (NC), Single Family,1
43098,Mecklenburg County 29 (NC), Single Family,1
43099,Mecklenburg County 29 (NC), Single Family,1
43100,Mecklenburg County 28 (NC), Single Family,3
43101,Mecklenburg County 28 (NC), Single Family,3
43102,Mecklenburg County 28 (NC), Single Family,3
43103,Mecklenburg County 28 (NC), Single Family,3
43104,Mecklenburg County 4 (NC), Single Family,3
43105,Mecklenburg County 36 (NC), Single Family,3
43106,Mecklenburg County 36 (NC), Single Family,3
43107,Mecklenburg County 36 (NC), Single Family,3
43108,Charlotte, Single Family,3
43109,Charlotte, Single Family,3
43110,Mecklenburg County 28 (NC), Single Family,3
43111,Mecklenburg County 28 (NC), Single Family,3
