,Submarket,Housing_Type,Cluster
301,Mecklenburg County 16 (NC), Single Family,3
302,Mecklenburg County 6 (NC), Single Family,3
303,Mecklenburg County 6 (NC), Single Family,3
304,Mecklenburg County 12 (NC), Single Family,3
305,Mecklenburg County 19 (NC), Single Family,3
306,Mecklenburg County 19 (NC), Single Family,3
307,Mecklenburg County 15 (NC), Single Family,3
308,Charlotte, Condominium,4
309,Matthews, Single Family,3
310,Cornelius, Condominium,4
311,Mecklenburg County 36 (NC), Condominium,4
312,Mecklenburg County 19 (NC), Townhouse,1
313,Mecklenburg County 19 (NC), Townhouse,1
314,Mecklenburg County 19 (NC), Single Family,3
315,Mecklenburg County 15 (NC), Condominium,4
316,Mecklenburg County 6 (NC), Single Family,3
317,Mecklenburg County 28 (NC), Single Family,3
318,Matthews, Single Family,3
319,Pineville, Single Family,3
320,Pineville, Single Family,3
321,Mecklenburg County 36 (NC), Single Family,3
322,Mecklenburg County 36 (NC), Single Family,3
323,Mecklenburg County 29 (NC), Single Family,1
324,Matthews, Single Family,3
325,Matthews, Single Family,3
326,Mecklenburg County 36 (NC), Single Family,3
327,Mecklenburg County 1 (NC), Condominium,4
328,Mecklenburg County 14 (NC), Single Family,3
329,Mecklenburg County 29 (NC), Single Family,1
330,Mecklenburg County 14 (NC), Single Family,3
331,Mecklenburg County 4 (NC), Single Family,3
332,Mecklenburg County 14 (NC), Single Family,3
333,Mecklenburg County 28 (NC), Single Family,3
334,Mecklenburg County 1 (NC), Condominium,4
335,Mecklenburg County 1 (NC), Condominium,4
336,Mecklenburg County 19 (NC), Single Family,3
337,Mecklenburg County 13 (NC), Condominium,4
338,Mint Hill, Single Family,3
339,Mecklenburg County 6 (NC), Single Family,3
340,Mecklenburg County 14 (NC), Single Family,3
341,Mecklenburg County 14 (NC), Single Family,3
342,Mecklenburg County 14 (NC), Single Family,3
343,Mecklenburg County 4 (NC), Single Family,3
344,Mecklenburg County 30 (NC), Single Family,3
345,Mecklenburg County 12 (NC), Single Family,3
346,Mecklenburg County 14 (NC), Single Family,3
347,Mecklenburg County 1 (NC), Condominium,4
348,Mecklenburg County 20 (NC), Condominium,4
349,Mecklenburg County 20 (NC), Condominium,4
350,Mecklenburg County 1 (NC), Condominium,4
351,Mecklenburg County 1 (NC), Condominium,4
352,Mecklenburg County 26 (NC), Single Family,3
353,Huntersville, Single Family,2
354,Huntersville, Single Family,2
355,Huntersville, Townhouse,2
356,Mecklenburg County 18 (NC), Single Family,3
357,Mecklenburg County 18 (NC), Single Family,3
358,Mecklenburg County 9 (NC), Single Family,3
359,Mecklenburg County 26 (NC), Single Family,3
360,Mecklenburg County 19 (NC), Single Family,3
361,Mecklenburg County 11 (NC), Condominium,4
362,Mecklenburg County 29 (NC), Townhouse,1
363,Huntersville, Single Family,2
364,Mecklenburg County 30 (NC), Single Family,3
365,Mecklenburg County 30 (NC), Single Family,3
366,Mecklenburg County 26 (NC), Single Family,3
367,Mecklenburg County 35 (NC), Single Family,0
368,Mecklenburg County 19 (NC), Single Family,3
369,Mecklenburg County 14 (NC), Single Family,3
370,Mecklenburg County 14 (NC), Single Family,3
371,Mecklenburg County 14 (NC), Single Family,3
372,Mecklenburg County 26 (NC), Single Family,3
373,Mecklenburg County 27 (NC), Single Family,3
374,Mecklenburg County 6 (NC), Single Family,3
375,Mecklenburg County 6 (NC), Single Family,3
376,Mecklenburg County 10 (NC), Single Family,3
377,Mecklenburg County 34 (NC), Single Family,3
378,Mecklenburg County 34 (NC), Single Family,3
379,Cornelius, Single Family,4
380,Charlotte, Condominium,4
381,Mecklenburg County 6 (NC), Single Family,3
382,Mecklenburg County 36 (NC), Single Family,3
383,Mecklenburg County 36 (NC), Single Family,3
384,Mecklenburg County 36 (NC), Single Family,3
385,Mecklenburg County 36 (NC), Single Family,3
386,Pineville, Townhouse,1
387,Mecklenburg County 7 (NC), Single Family,3
388,Mecklenburg County 18 (NC), Single Family,3
389,Mecklenburg County 18 (NC), Single Family,3
390,Mecklenburg County 28 (NC), Single Family,3
391,Mecklenburg County 28 (NC), Single Family,3
392,Mecklenburg County 28 (NC), Single Family,3
393,Huntersville, Single Family,2
394,Huntersville, Single Family,2
395,Mecklenburg County 10 (NC), Single Family,3
396,Cornelius, Condominium,4
397,Cornelius, Townhouse,4
398,Cornelius, Condominium,4
399,Mecklenburg County 28 (NC), Single Family,3
400,Mecklenburg County 28 (NC), Single Family,3
