,Stories,Bedrooms,Bathrooms,Housing_Type,Cluster
260,1.0,3.0,2.0, Single Family,1
261,1.0,2.0,2.0, Condominium,3
262,2.0,4.0,2.5, Single Family,0
263,2.0,4.0,3.0, Single Family,0
264,1.0,2.0,2.0, Townhouse,2
265,1.0,3.0,2.0, Single Family,1
266,1.0,3.0,2.0, Single Family,1
267,2.0,3.0,2.5, Single Family,0
268,1.0,3.0,2.0, Single Family,1
269,1.0,3.0,1.5, Single Family,1
270,1.0,3.0,1.5, Single Family,1
271,1.0,3.0,2.0, Single Family,1
272,1.0,3.0,1.5, Single Family,1
273,2.0,4.0,3.5, Single Family,0
274,2.0,5.0,5.5, Single Family,0
275,2.0,2.0,2.5, Townhouse,2
276,2.0,3.0,2.5, Single Family,0
277,2.0,4.0,2.5, Single Family,0
278,1.0,3.0,3.0, Single Family,1
279,2.5,4.0,3.5, Single Family,0
280,2.0,5.0,3.5, Single Family,0
281,2.0,3.0,2.5, Single Family,0
282,1.0,3.0,1.0, Single Family,1
283,2.5,4.0,4.0, Single Family,0
284,2.0,5.0,4.5, Single Family,0
285,1.5,4.0,3.0, Single Family,0
286,2.0,4.0,4.0, Single Family,0
287,1.0,2.0,2.0, Condominium,3
288,1.0,2.0,2.0, Condominium,3
289,1.0,3.0,1.5, Single Family,1
290,1.0,3.0,2.0, Single Family,1
291,1.0,3.0,2.0, Single Family,1
292,2.0,4.0,3.5, Single Family,0
293,1.0,3.0,2.0, Single Family,1
294,2.0,3.0,2.5, Single Family,0
295,1.0,3.0,2.0, Single Family,1
296,1.0,2.0,1.0, Single Family,1
297,1.5,3.0,4.0, Single Family,0
298,2.0,4.0,2.5, Single Family,0
299,2.0,2.0,2.5, Townhouse,2
300,1.0,3.0,2.0, Single Family,1
301,2.5,5.0,7.0, Single Family,0
302,1.0,3.0,1.0, Single Family,1
303,1.0,3.0,2.0, Single Family,1
304,1.0,3.0,2.5, Single Family,1
305,2.0,3.0,2.5, Single Family,0
306,2.0,4.0,3.0, Single Family,0
307,2.0,4.0,3.5, Single Family,0
308,1.0,2.0,2.0, Condominium,3
309,1.5,3.0,2.5, Single Family,1
310,1.0,3.0,2.0, Condominium,3
311,1.0,2.0,2.0, Condominium,3
312,2.0,3.0,2.5, Townhouse,2
313,2.0,3.0,2.5, Townhouse,2
314,2.0,4.0,4.5, Single Family,0
315,1.0,2.0,2.0, Condominium,3
316,2.0,4.0,2.5, Single Family,0
317,2.0,4.0,2.5, Single Family,0
318,2.0,4.0,3.0, Single Family,0
319,2.0,3.0,2.5, Single Family,0
320,1.0,3.0,2.0, Single Family,1
321,2.0,4.0,3.5, Single Family,0
322,2.0,4.0,3.5, Single Family,0
323,1.0,3.0,2.0, Single Family,1
324,2.0,5.0,3.0, Single Family,0
325,2.5,4.0,2.5, Single Family,0
326,1.0,3.0,2.0, Single Family,1
327,1.0,2.0,2.0, Condominium,3
328,1.0,3.0,2.0, Single Family,1
329,2.0,3.0,2.5, Single Family,0
330,1.0,4.0,2.0, Single Family,1
331,2.0,3.0,2.5, Single Family,0
332,2.0,4.0,4.5, Single Family,0
333,2.0,4.0,3.0, Single Family,0
334,1.0,2.0,2.5, Condominium,3
