,Site_Zip,Housing_Type,Cluster
441,28269, Single Family,2
442,28269, Townhouse,0
443,28269, Townhouse,0
444,28269, Townhouse,0
445,28213, Single Family,2
446,28209, Condominium,3
447,28262, Single Family,2
448,28273, Single Family,2
449,28210, Single Family,3
450,28212, Single Family,2
451,28212, Single Family,2
452,28212, Single Family,2
453,28212, Single Family,2
454,28277, Townhouse,0
455,28227, Single Family,2
456,28078, Single Family,2
457,28208, Single Family,2
458,28270, Single Family,2
459,28216, Single Family,0
460,28270, Single Family,2
461,28205, Single Family,2
462,28277, Single Family,2
463,28216, Single Family,0
464,28269, Single Family,2
465,28207, Condominium,3
466,28205, Single Family,2
467,28277, Townhouse,0
468,28269, Single Family,2
469,28205, Condominium,3
470,28215, Townhouse,0
471,28215, Townhouse,0
472,28215, Single Family,2
473,28278, Single Family,2
474,28273, Single Family,2
475,28273, Single Family,2
476,28273, Single Family,2
477,28215, Single Family,2
478,28215, Single Family,2
479,28226, Single Family,2
480,28270, Single Family,2
481,28105, Single Family,2
482,28031, Townhouse,1
483,28215, Single Family,2
484,28212, Single Family,2
485,28277, Single Family,2
486,28212, Single Family,2
487,28213, Single Family,2
488,28205, Single Family,2
489,28227, Townhouse,0
490,28078, Single Family,2
491,28078, Single Family,2
492,28207, Condominium,3
493,28207, Condominium,3
494,28273, Single Family,2
495,28269, Single Family,2
496,28269, Single Family,2
497,28208, Townhouse,0
498,28210, Townhouse,3
499,28210, Townhouse,3
500,28262, Single Family,2
501,28216, Single Family,0
502,28270, Single Family,2
503,28273, Townhouse,0
504,28206, Single Family,2
505,28205, Single Family,2
506,28078, Single Family,2
507,28210, Single Family,3
508,28210, Single Family,3
509,28209, Single Family,2
510,28269, Single Family,2
511,28031, Single Family,1
512,28209, Townhouse,0
513,28226, Townhouse,0
514,28269, Single Family,2
515,28269, Single Family,2
516,28262, Single Family,2
517,28269, Single Family,2
518,28269, Single Family,2
519,28269, Single Family,2
520,28031, Townhouse,1
521,28208, Single Family,2
522,28227, Single Family,2
523,28227, Single Family,2
524,28105, Single Family,2
525,28105, Single Family,2
526,28211, Condominium,4
527,28036, Single Family,2
528,28078, Single Family,2
529,28217, Single Family,2
530,28208, Single Family,2
531,28216, Single Family,0
532,28216, Single Family,0
533,28216, Single Family,0
534,28270, Townhouse,0
535,28031, Single Family,1
536,28269, Condominium,3
537,28269, Condominium,3
538,28269, Single Family,2
539,28226, Single Family,2
540,28226, Townhouse,0
541,28227, Single Family,2
542,28213, Single Family,2
543,28205, Single Family,2
544,28205, Single Family,2
545,28078, Single Family,2
546,28277, Single Family,2
547,28105, Townhouse,0
548,28202, Condominium,3
