Stories,Bedrooms,Bathrooms,Housing_Type,Site_Zip,Housing_Age
2,4,2, Single Family,28031,25
2,4,3, Single Family,28031,31
1,3,2, Single Family,28214,19
2,3,2, Single Family,28214,19
2,3,2, Single Family,28214,7
1,3,2, Single Family,28215,22
2,3,2, Single Family,28214,14
2,4,3, Single Family,28214,10
2,4,2, Single Family,28214,14
2,4,3, Single Family,28214,10
1,3,1, Single Family,28209,68
1,3,2, Single Family,28226,35
2,4,2, Single Family,28078,33
2,4,2, Single Family,28078,32
2,4,2, Single Family,28078,30
1,3,2, Single Family,28212,49
1,3,2, Single Family,28212,48
2,4,2, Single Family,28078,7
1,3,2, Single Family,28078,16
2,3,3, Townhouse,28277,5
2,5,4, Single Family,28226,30
1,4,4, Single Family,28226,26
1,3,1, Single Family,28205,75
2,4,3, Single Family,28278,10
2,5,3, Single Family,28278,6
1,2,1, Single Family,28213,61
2,3,2, Single Family,28213,17
1,2,2, Condominium,28207,36
2,2,2, Townhouse,28278,13
2,3,2, Townhouse,28278,10
2,3,2, Townhouse,28278,10
1,2,1, Single Family,28206,58
2,3,2, Single Family,28216,19
2,3,2, Single Family,28216,22
2,4,2, Single Family,28269,20
2,4,3, Single Family,28269,16
2,4,2, Single Family,28273,27
1,3,2, Single Family,28273,28
2,3,2, Single Family,27713,26
2,3,2, Single Family,28269,23
2,4,2, Single Family,28105,36
1,3,2, Single Family,28227,42
1,2,1, Single Family,28204,73
1,2,2, Condominium,28211,33
1,2,2, Condominium,28211,33
2,3,2, Single Family,28215,14
2,3,2, Single Family,28215,5
1,3,2, Single Family,28212,91
1,3,2, Single Family,28208,20
1,4,2, Single Family,28216,30
2,3,2, Single Family,28216,27
1,3,1, Single Family,28217,61
1,6,3, Single Family,28278,3
2,4,3, Single Family,28209,4
1,4,2, Single Family,28262,23
1,3,1, Single Family,28213,58
2,5,4, Single Family,28210,4
1,3,2, Single Family,28205,70
1,3,2, Single Family,28205,48
1,3,2, Single Family,28209,71
2,3,2, Single Family,28277,21
1,3,1, Single Family,28209,64
2,2,2, Townhouse,28205,19
1,2,2, Condominium,28226,41
2,3,3, Townhouse,28226,35
1,2,2, Condominium,28213,32
1,2,2, Condominium,28213,27
1,2,1, Single Family,28205,75
1,3,2, Condominium,28212,52
2,3,2, Single Family,28226,43
1,2,2, Condominium,28277,15
1,3,2, Condominium,28277,18
1,2,2, Condominium,28277,20
2,4,3, Single Family,28031,7
2,1,2, Townhouse,28211,14
1,2,1, Condominium,28211,55
1,2,1, Condominium,28211,55
2,2,1, Condominium,28211,55
2,3,2, Townhouse,28203,8
2,3,2, Townhouse,28203,8
2,5,4, Single Family,28226,34
1,3,1, Single Family,28214,67
1,3,1, Single Family,28214,67
1,3,1, Single Family,28214,66
2,3,2, Townhouse,28214,34
1,3,2, Single Family,28214,31
1,3,2, Single Family,28214,31
1,3,2, Single Family,28205,58
1,3,2, Single Family,28205,65
1,3,3, Single Family,28205,68
1,3,1, Single Family,28205,70
1,2,1, Condominium,28209,107
2,3,2, Single Family,28105,37
2,4,2, Single Family,28105,37
2,4,2, Single Family,28105,37
1,3,2, Single Family,28273,19
1,3,2, Single Family,28273,19
2,3,2, Single Family,28213,20
2,4,2, Single Family,28213,19
2,3,2, Single Family,28213,18
2,4,2, Single Family,28213,20
1,3,2, Single Family,28273,19
2,3,2, Single Family,28273,14
2,3,2, Single Family,28273,16
2,3,2, Single Family,28273,14
2,3,2, Single Family,28273,13
2,3,2, Townhouse,28213,17
1,3,2, Single Family,28212,53
1,3,2, Single Family,28212,68
1,2,1, Condominium,28212,52
1,1,1, Condominium,28212,52
1,2,1, Condominium,28212,52
1,3,2, Single Family,28078,21
1,3,2, Single Family,28078,24
2,3,2, Single Family,28078,24
1,3,2, Single Family,28078,23
2,3,2, Townhouse,28270,18
2,2,2, Townhouse,28270,16
2,3,2, Townhouse,28270,18
2,3,2, Townhouse,28270,18
2,3,2, Townhouse,28270,18
2,5,4, Single Family,28278,8
1,3,2, Single Family,28212,30
2,3,2, Single Family,28214,19
2,3,2, Single Family,28214,20
1,2,1, Condominium,28207,87
1,3,1, Single Family,28205,58
1,3,1, Single Family,28205,58
1,3,1, Single Family,28205,58
2,2,2, Townhouse,28277,36
2,2,2, Townhouse,28277,33
2,2,2, Townhouse,28277,34
1,2,2, Condominium,28210,34
2,3,2, Single Family,28273,23
2,3,2, Single Family,28273,23
