,Site_Zip,Stories,Sale_Price,Bedrooms,Housing_Type,Cluster
214,28205,1.0,495500,3.0, Single Family,0
215,28209,1.0,705000,3.0, Single Family,0
216,28277,2.0,465000,3.0, Single Family,0
217,28205,2.0,273000,2.0, Townhouse,4
218,28226,2.0,490000,3.0, Townhouse,4
219,28213,1.0,115500,2.0, Condominium,4
220,28205,1.0,290000,2.0, Single Family,0
221,28212,1.0,130500,3.0, Condominium,4
222,28226,2.0,325000,3.0, Single Family,0
223,28031,2.0,449000,4.0, Single Family,0
224,28211,2.0,190000,1.0, Townhouse,2
225,28211,1.0,143000,2.0, Condominium,2
226,28211,1.0,150000,2.0, Condominium,2
227,28211,2.0,157000,2.0, Condominium,2
228,28214,1.0,200000,3.0, Single Family,0
229,28214,1.0,160000,3.0, Single Family,0
230,28214,1.0,200000,3.0, Single Family,0
231,28205,1.0,418000,3.0, Single Family,0
232,28205,1.0,437000,3.0, Single Family,0
233,28205,1.0,450000,3.0, Single Family,0
234,28205,1.0,312500,3.0, Single Family,0
235,28209,1.0,165000,2.0, Condominium,4
236,28105,2.0,305000,3.0, Single Family,0
237,28105,2.0,290000,4.0, Single Family,0
238,28105,2.0,325000,4.0, Single Family,0
239,28273,1.0,198000,3.0, Single Family,0
240,28273,2.0,249000,3.0, Single Family,0
241,28213,2.0,160000,3.0, Townhouse,4
242,28212,1.0,305000,3.0, Single Family,0
243,28212,1.0,87500,1.0, Condominium,4
244,28212,1.0,105000,2.0, Condominium,4
245,28078,1.0,206500,3.0, Single Family,0
246,28078,1.0,225000,3.0, Single Family,0
247,28270,2.0,213000,2.0, Townhouse,4
248,28270,2.0,279000,3.0, Townhouse,4
249,28270,2.0,253000,3.0, Townhouse,4
250,28270,2.0,279000,3.0, Townhouse,4
251,28207,1.0,210000,2.0, Condominium,4
252,28205,1.0,216500,3.0, Single Family,0
253,28205,1.0,275000,3.0, Single Family,0
254,28277,2.0,145000,2.0, Townhouse,4
255,28277,2.0,180000,2.0, Townhouse,4
256,28273,2.0,270000,3.0, Single Family,0
257,28078,2.0,172500,2.0, Townhouse,4
258,28078,2.0,275000,3.0, Single Family,0
259,28270,2.0,355000,5.0, Single Family,0
260,28078,1.0,231000,3.0, Single Family,0
261,28204,1.0,290000,2.0, Condominium,4
262,28269,2.0,375000,4.0, Single Family,0
263,28210,2.0,592500,4.0, Single Family,0
264,28031,1.0,231000,2.0, Townhouse,4
265,28227,1.0,264000,3.0, Single Family,3
266,28227,1.0,233000,3.0, Single Family,3
267,28227,2.0,250000,3.0, Single Family,3
268,28205,1.0,330000,3.0, Single Family,0
269,28205,1.0,290000,3.0, Single Family,0
270,28205,1.0,282000,3.0, Single Family,0
271,28205,1.0,223000,3.0, Single Family,0
272,28205,1.0,172000,3.0, Single Family,0
273,28214,2.0,373000,4.0, Single Family,0
274,28036,2.0,1276000,5.0, Single Family,0
275,28036,2.0,223000,2.0, Townhouse,4
276,28269,2.0,260000,3.0, Single Family,0
277,28269,2.0,260500,4.0, Single Family,0
278,28227,1.0,320000,3.0, Single Family,3
279,28105,2.5,660000,4.0, Single Family,0
280,28211,2.0,1425000,5.0, Single Family,2
281,28031,2.0,430000,3.0, Single Family,0
